  Time                 , V(U3:OUT)            
  3.575588116837e-02  ,-5.969319139527e-02  
  3.585588116837e-02  ,-6.696162160591e-02  
  3.595588116837e-02  ,-7.396577356377e-02  
  3.605588116837e-02  ,-8.067800509720e-02  
  3.615588116837e-02  ,-8.707182607585e-02  
  3.625588116837e-02  ,-9.312200300643e-02  
  3.635588116837e-02  ,-9.880465864070e-02  
  3.645588116837e-02  ,-1.040973660608e-01  
  3.655588116837e-02  ,-1.089792374513e-01  
  3.665588116837e-02  ,-1.134310062522e-01  
  3.675588116837e-02  ,-1.174351033696e-01  
  3.685588116837e-02  ,-1.209757264469e-01  
  3.695588116837e-02  ,-1.240389022926e-01  
  3.705588116837e-02  ,-1.266125419271e-01  
  3.715588116837e-02  ,-1.286864883832e-01  
  3.725588116837e-02  ,-1.302525567387e-01  
  3.735588116837e-02  ,-1.313045664387e-01  
  3.745588116837e-02  ,-1.318383656745e-01  
  3.755588116837e-02  ,-1.318518477954e-01  
  3.765588116837e-02  ,-1.313449595947e-01  
  3.775588116837e-02  ,-1.303197015371e-01  
  3.785588116837e-02  ,-1.287801197968e-01  
  3.795588116837e-02  ,-1.267322904624e-01  
  3.805588116837e-02  ,-1.241842953528e-01  
  3.815588116837e-02  ,-1.211461902272e-01  
  3.825588116837e-02  ,-1.176299651195e-01  
  3.835588116837e-02  ,-1.136494969574e-01  
  3.845588116837e-02  ,-1.092204948246e-01  
  3.855588116837e-02  ,-1.043604379785e-01  
  3.865588116837e-02  ,-9.908850683083e-02  
  3.875588116837e-02  ,-9.342550731452e-02  
  3.885588116837e-02  ,-8.739378866564e-02  
  3.895588116837e-02  ,-8.101715534084e-02  
  3.905588116837e-02  ,-7.432077300201e-02  
  3.915588116837e-02  ,-6.733106916195e-02  
  3.925588116837e-02  ,-6.007562907129e-02  
  3.935588116837e-02  ,-5.258308655583e-02  
  3.945588116837e-02  ,-4.488301131419e-02  
  3.955588116837e-02  ,-3.700579200381e-02  
  3.965588116837e-02  ,-2.898251642395e-02  
  3.975588116837e-02  ,-2.084484879607e-02  
  3.985588116837e-02  ,-1.262490471335e-02  
  3.995588116837e-02  ,-4.355124610681e-03  
  4.005588116837e-02  ,3.931854528766e-03  
  4.015588116837e-02  ,1.220332774889e-02  
  4.025588116837e-02  ,2.042665134285e-02  
  4.035588116837e-02  ,2.856937158082e-02  
  4.045588116837e-02  ,3.659935288611e-02  
